Station ID,Station Name,Province,Reported Station,Rainfall (mm),Date
41516,GILGIT,GB,GILGIT,0,2025-04-23
41506,CHITRAL,KPK,CHITRAL,5,2025-04-22
41517,SKARDU,GB,SKARDU,1,2025-04-22
41520,ASTORE,GB,ASTORE,3,2025-04-22
41505,HUNZA,GB,HUNZA,0,2025-04-22
43534,Jammu,Kashmir,Jammu,0,2025-04-22
41516,GILGIT,GB,GILGIT,0,2025-04-22
43536,Srinagar,Kashmir,Srinagar,8,2025-04-22
41516,GILGIT,GB,GILGIT,2,2025-04-21
41505,HUNZA,GB,HUNZA,3,2025-04-21
41508,DIR,KPK,DIR,14,2025-04-21
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,10,2025-04-21
41520,ASTORE,GB,ASTORE,28,2025-04-21
43536,Srinagar,Kashmir,Srinagar,8,2025-04-21
41506,CHITRAL,KPK,CHITRAL,7,2025-04-21
41517,SKARDU,GB,SKARDU,6,2025-04-21
41577,ISLAMABAD,Islamabad,ISLAMABAD,1,2025-04-21
41598,JHELUM,Punjab,JHELUM,0,2025-04-21
43535,Leh,Kashmir,Leh,4,2025-04-21
41573,MURREE,Punjab,MURREE,3,2025-04-21
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,13,2025-04-21
41535,Abbotabad,KPK,Abbotabad,4,2025-04-21
41574,RAWALAKOT,Kashmir,RAWALAKOT,10,2025-04-21
41571,RAWALPINDI,Punjab,RAWALPINDI,3,2025-04-21
43534,Jammu,Kashmir,Jammu,0,2025-04-21
43534,Jammu,Kashmir,Jammu,0,2025-04-20
41577,ISLAMABAD,Islamabad,ISLAMABAD,0,2025-04-20
41520,ASTORE,GB,ASTORE,28,2025-04-20
41517,SKARDU,GB,SKARDU,63,2025-04-20
41508,DIR,KPK,DIR,24,2025-04-20
41573,MURREE,Punjab,MURREE,0,2025-04-20
41574,RAWALAKOT,Kashmir,RAWALAKOT,1,2025-04-20
41571,RAWALPINDI,Punjab,RAWALPINDI,0,2025-04-20
41506,CHITRAL,KPK,CHITRAL,10,2025-04-20
41516,GILGIT,GB,GILGIT,8,2025-04-20
41505,HUNZA,GB,HUNZA,0,2025-04-20
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,1,2025-04-20
43535,Leh,Kashmir,Leh,4,2025-04-20
43536,Srinagar,Kashmir,Srinagar,12,2025-04-20
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,27,2025-04-19
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,4,2025-04-19
41505,HUNZA,GB,HUNZA,11,2025-04-19
41516,GILGIT,GB,GILGIT,13,2025-04-19
41577,ISLAMABAD,Islamabad,ISLAMABAD,10,2025-04-19
41680,SAHIWAL,Punjab,SAHIWAL,0,2025-04-19
41574,RAWALAKOT,Kashmir,RAWALAKOT,10,2025-04-19
41508,DIR,KPK,DIR,4,2025-04-19
41567,Attock,Punjab,Attock,6,2025-04-19
41573,MURREE,Punjab,MURREE,17,2025-04-19
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,9,2025-04-19
43536,Srinagar,Kashmir,Srinagar,18,2025-04-19
41535,Abbotabad,KPK,Abbotabad,33,2025-04-19
41640,LAHORE,Punjab,LAHORE,0,2025-04-19
41517,SKARDU,GB,SKARDU,16,2025-04-19
41520,ASTORE,GB,ASTORE,23,2025-04-19
43535,Leh,Kashmir,Leh,1,2025-04-19
41525,MALAM JABBA,KPK,MALAM JABBA,11,2025-04-19
43534,Jammu,Kashmir,Jammu,0,2025-04-19
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,18,2025-04-19
41506,CHITRAL,KPK,CHITRAL,2,2025-04-19
41598,JHELUM,Punjab,JHELUM,5,2025-04-19
41571,RAWALPINDI,Punjab,RAWALPINDI,11,2025-04-19
41506,CHITRAL,KPK,CHITRAL,5,2025-04-18
41630,FAISALABAD,Punjab,FAISALABAD,0,2025-04-18
41508,DIR,KPK,DIR,8,2025-04-18
41624,D-I-KHAN,KPK,D-I-KHAN,0,2025-04-18
41516,GILGIT,GB,GILGIT,0,2025-04-18
41577,ISLAMABAD,Islamabad,ISLAMABAD,10,2025-04-17
43536,Srinagar,Kashmir,Srinagar,18,2025-04-17
43534,Jammu,Kashmir,Jammu,33,2025-04-17
41640,LAHORE,Punjab,LAHORE,0,2025-04-17
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,16,2025-04-17
41525,MALAM JABBA,KPK,MALAM JABBA,8,2025-04-17
41520,ASTORE,GB,ASTORE,0,2025-04-17
41598,JHELUM,Punjab,JHELUM,1,2025-04-17
41593,SARGODHA,Punjab,SARGODHA,0,2025-04-17
41574,RAWALAKOT,Kashmir,RAWALAKOT,13,2025-04-17
41573,MURREE,Punjab,MURREE,14,2025-04-17
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,15,2025-04-17
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,1,2025-04-17
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,0,2025-04-17
