Station ID,Station Name,Province,Reported Station,Rainfall (mm),Date
41520,ASTORE,GB,ASTORE,8,"28 Jan, 2026"
41535,Abbotabad,KPK,Abbotabad,6,"28 Jan, 2026"
41567,Attock,Punjab,Attock,2,"28 Jan, 2026"
41506,CHITRAL,KPK,CHITRAL,2,"28 Jan, 2026"
41508,DIR,KPK,DIR,8,"28 Jan, 2026"
41516,GILGIT,GB,GILGIT,1,"28 Jan, 2026"
41577,ISLAMABAD,Islamabad,ISLAMABAD,2,"28 Jan, 2026"
41598,JHELUM,Punjab,JHELUM,0,"28 Jan, 2026"
41525,MALAM JABBA,KPK,MALAM JABBA,38,"28 Jan, 2026"
41573,MURREE,Punjab,MURREE,9,"28 Jan, 2026"
41710,NOKKUNDI,Balochistan,NOKKUNDI,8,"28 Jan, 2026"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,2,"28 Jan, 2026"
41574,RAWALAKOT,Kashmir,RAWALAKOT,13,"28 Jan, 2026"
41571,RAWALPINDI,Punjab,RAWALPINDI,2,"28 Jan, 2026"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,8,"28 Jan, 2026"
41661,SAMUNGLI,Balochistan,SAMUNGLI,2,"28 Jan, 2026"
41697,SIBBI,Balochistan,SIBBI,3,"28 Jan, 2026"
41517,SKARDU,GB,SKARDU,2,"28 Jan, 2026"
41520,ASTORE,GB,ASTORE,4,"27 Jan, 2026"
41535,Abbotabad,KPK,Abbotabad,12,"27 Jan, 2026"
41567,Attock,Punjab,Attock,7,"27 Jan, 2026"
41562,BANNU,KPK,BANNU,3,"27 Jan, 2026"
41634,CHAKWAL,Punjab,CHAKWAL,6,"27 Jan, 2026"
41508,DIR,KPK,DIR,21,"27 Jan, 2026"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,20,"27 Jan, 2026"
41516,GILGIT,GB,GILGIT,3,"27 Jan, 2026"
41757,GWADAR,Balochistan,GWADAR,12,"27 Jan, 2026"
41577,ISLAMABAD,Islamabad,ISLAMABAD,7,"27 Jan, 2026"
41598,JHELUM,Punjab,JHELUM,7,"27 Jan, 2026"
41756,JIWANI,Balochistan,JIWANI,16,"27 Jan, 2026"
41696,KALAT,Balochistan,KALAT,11,"27 Jan, 2026"
41640,LAHORE,Punjab,LAHORE,2,"27 Jan, 2026"
41525,MALAM JABBA,KPK,MALAM JABBA,42,"27 Jan, 2026"
41573,MURREE,Punjab,MURREE,18,"27 Jan, 2026"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,37,"27 Jan, 2026"
41710,NOKKUNDI,Balochistan,NOKKUNDI,3,"27 Jan, 2026"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,10,"27 Jan, 2026"
41574,RAWALAKOT,Kashmir,RAWALAKOT,3,"27 Jan, 2026"
41571,RAWALPINDI,Punjab,RAWALPINDI,7,"27 Jan, 2026"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,15,"27 Jan, 2026"
41661,SAMUNGLI,Balochistan,SAMUNGLI,11,"27 Jan, 2026"
41697,SIBBI,Balochistan,SIBBI,3,"27 Jan, 2026"
41517,SKARDU,GB,SKARDU,4,"27 Jan, 2026"
41738,TURBAT,Balochistan,TURBAT,9,"27 Jan, 2026"
41696,KALAT,Balochistan,KALAT,34,"26 Jan, 2026"
41710,NOKKUNDI,Balochistan,NOKKUNDI,8,"26 Jan, 2026"
41661,SAMUNGLI,Balochistan,SAMUNGLI,1,"26 Jan, 2026"
41697,SIBBI,Balochistan,SIBBI,3,"26 Jan, 2026"
41738,TURBAT,Balochistan,TURBAT,0,"26 Jan, 2026"
41520,ASTORE,GB,ASTORE,4,"24 Jan, 2026"
41535,Abbotabad,KPK,Abbotabad,4,"24 Jan, 2026"
41567,Attock,Punjab,Attock,22,"24 Jan, 2026"
41506,CHITRAL,KPK,CHITRAL,1,"24 Jan, 2026"
41508,DIR,KPK,DIR,13,"24 Jan, 2026"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,24,"24 Jan, 2026"
41516,GILGIT,GB,GILGIT,0,"24 Jan, 2026"
41577,ISLAMABAD,Islamabad,ISLAMABAD,3,"24 Jan, 2026"
41525,MALAM JABBA,KPK,MALAM JABBA,52,"24 Jan, 2026"
41573,MURREE,Punjab,MURREE,14,"24 Jan, 2026"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,4,"24 Jan, 2026"
41574,RAWALAKOT,Kashmir,RAWALAKOT,24,"24 Jan, 2026"
41571,RAWALPINDI,Punjab,RAWALPINDI,3,"24 Jan, 2026"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,9,"24 Jan, 2026"
41517,SKARDU,GB,SKARDU,2,"24 Jan, 2026"
41520,ASTORE,GB,ASTORE,26,"23 Jan, 2026"
41535,Abbotabad,KPK,Abbotabad,73,"23 Jan, 2026"
41567,Attock,Punjab,Attock,28,"23 Jan, 2026"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,6,"23 Jan, 2026"
41562,BANNU,KPK,BANNU,22,"23 Jan, 2026"
41634,CHAKWAL,Punjab,CHAKWAL,37,"23 Jan, 2026"
41506,CHITRAL,KPK,CHITRAL,46,"23 Jan, 2026"
41652,D G KHAN,Punjab,D G KHAN,7,"23 Jan, 2026"
41624,D-I-KHAN,KPK,D-I-KHAN,22,"23 Jan, 2026"
41743,DADU,Sindh,DADU,3,"23 Jan, 2026"
41508,DIR,KPK,DIR,60,"23 Jan, 2026"
41630,FAISALABAD,Punjab,FAISALABAD,4,"23 Jan, 2026"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,47,"23 Jan, 2026"
41577,ISLAMABAD,Islamabad,ISLAMABAD,42,"23 Jan, 2026"
41598,JHELUM,Punjab,JHELUM,23,"23 Jan, 2026"
41696,KALAT,Balochistan,KALAT,27,"23 Jan, 2026"
41640,LAHORE,Punjab,LAHORE,22,"23 Jan, 2026"
41525,MALAM JABBA,KPK,MALAM JABBA,76,"23 Jan, 2026"
41747,MOHENJO-DARO,Sindh,MOHENJO-DARO,3,"23 Jan, 2026"
41675,MULTAN,Punjab,MULTAN,14,"23 Jan, 2026"
41573,MURREE,Punjab,MURREE,29,"23 Jan, 2026"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,55,"23 Jan, 2026"
41749,NAWABSHAH,Sindh,NAWABSHAH,1,"23 Jan, 2026"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,52,"23 Jan, 2026"
41574,RAWALAKOT,Kashmir,RAWALAKOT,19,"23 Jan, 2026"
41571,RAWALPINDI,Punjab,RAWALPINDI,38,"23 Jan, 2026"
41680,SAHIWAL,Punjab,SAHIWAL,4,"23 Jan, 2026"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,49,"23 Jan, 2026"
41593,SARGODHA,Punjab,SARGODHA,27,"23 Jan, 2026"
41697,SIBBI,Balochistan,SIBBI,4,"23 Jan, 2026"
41517,SKARDU,GB,SKARDU,2,"23 Jan, 2026"
41724,SUKKUR,Sindh,SUKKUR,10,"23 Jan, 2026"
41562,BANNU,KPK,BANNU,1,"22 Jan, 2026"
41696,KALAT,Balochistan,KALAT,15,"22 Jan, 2026"
41661,SAMUNGLI,Balochistan,SAMUNGLI,3,"22 Jan, 2026"
41697,SIBBI,Balochistan,SIBBI,2,"22 Jan, 2026"
41573,MURREE,Punjab,MURREE,1,"06 Jan, 2026"
41517,SKARDU,GB,SKARDU,0,"05 Jan, 2026"
41535,Abbotabad,KPK,Abbotabad,3,"03 Jan, 2026"
41506,CHITRAL,KPK,CHITRAL,2,"03 Jan, 2026"
41508,DIR,KPK,DIR,5,"03 Jan, 2026"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,8,"03 Jan, 2026"
41577,ISLAMABAD,Islamabad,ISLAMABAD,5,"03 Jan, 2026"
41525,MALAM JABBA,KPK,MALAM JABBA,4,"03 Jan, 2026"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,5,"03 Jan, 2026"
41571,RAWALPINDI,Punjab,RAWALPINDI,4,"03 Jan, 2026"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,3,"03 Jan, 2026"
41535,Abbotabad,KPK,Abbotabad,3,"02 Jan, 2026"
41506,CHITRAL,KPK,CHITRAL,2,"02 Jan, 2026"
41508,DIR,KPK,DIR,5,"02 Jan, 2026"
43533,GARHI DOPATTA,Kashmir,GARHI DOPATTA,8,"02 Jan, 2026"
41577,ISLAMABAD,Islamabad,ISLAMABAD,5,"02 Jan, 2026"
41525,MALAM JABBA,KPK,MALAM JABBA,4,"02 Jan, 2026"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,5,"02 Jan, 2026"
41571,RAWALPINDI,Punjab,RAWALPINDI,4,"02 Jan, 2026"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,3,"02 Jan, 2026"
41520,ASTORE,GB,ASTORE,1,"01 Jan, 2026"
41535,Abbotabad,KPK,Abbotabad,22,"01 Jan, 2026"
41567,Attock,Punjab,Attock,2,"01 Jan, 2026"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,1,"01 Jan, 2026"
41562,BANNU,KPK,BANNU,2,"01 Jan, 2026"
41634,CHAKWAL,Punjab,CHAKWAL,4,"01 Jan, 2026"
41506,CHITRAL,KPK,CHITRAL,13,"01 Jan, 2026"
41652,D G KHAN,Punjab,D G KHAN,1,"01 Jan, 2026"
41624,D-I-KHAN,KPK,D-I-KHAN,0,"01 Jan, 2026"
41508,DIR,KPK,DIR,28,"01 Jan, 2026"
41630,FAISALABAD,Punjab,FAISALABAD,3,"01 Jan, 2026"
41516,GILGIT,GB,GILGIT,0,"01 Jan, 2026"
41577,ISLAMABAD,Islamabad,ISLAMABAD,18,"01 Jan, 2026"
41598,JHELUM,Punjab,JHELUM,1,"01 Jan, 2026"
41696,KALAT,Balochistan,KALAT,1,"01 Jan, 2026"
41640,LAHORE,Punjab,LAHORE,0,"01 Jan, 2026"
41525,MALAM JABBA,KPK,MALAM JABBA,14,"01 Jan, 2026"
41786,MITHI,Sindh,MITHI,0,"01 Jan, 2026"
41675,MULTAN,Punjab,MULTAN,1,"01 Jan, 2026"
41573,MURREE,Punjab,MURREE,12,"01 Jan, 2026"
43532,MUZAFFARABAD,Kashmir,MUZAFFARABAD,5,"01 Jan, 2026"
41530,PESHAWAR AIRPORT,KPK,PESHAWAR AIRPORT,15,"01 Jan, 2026"
41660,QUETTA,Balochistan,QUETTA,4,"01 Jan, 2026"
41574,RAWALAKOT,Kashmir,RAWALAKOT,5,"01 Jan, 2026"
41680,SAHIWAL,Punjab,SAHIWAL,8,"01 Jan, 2026"
41523,SAIDU SHARIF,KPK,SAIDU SHARIF,9,"01 Jan, 2026"
41593,SARGODHA,Punjab,SARGODHA,2,"01 Jan, 2026"
41517,SKARDU,GB,SKARDU,0,"01 Jan, 2026"
41520,ASTORE,GB,ASTORE,1,"31 Dec, 2025"
41700,BAHAWALPUR,Punjab,BAHAWALPUR,0,"31 Dec, 2025"
41562,BANNU,KPK,BANNU,0,"31 Dec, 2025"
41506,CHITRAL,KPK,CHITRAL,14,"31 Dec, 2025"
